"Date","Close","Open","High","Low","Volume"
"11/17/2022","12955","12636","12955","12545","23670000"
"11/18/2022","13727","13273","13818","12955","109620000"
"11/21/2022","13591","13818","13864","13409","34770000"
"11/22/2022","13455","13318","14045","13136","47570000"
"11/23/2022","12545","13364","13500","12545","33330000"
"11/24/2022","13045","12455","13091","12364","34230000"
"11/25/2022","13909","13273","13909","13045","29190000"
"11/28/2022","14864","14182","14864","14182","64730000"
"11/29/2022","15818","15091","15864","14864","70740000"
"11/30/2022","16727","15955","16727","15636","63490000"
"12/1/2022","16545","17045","17864","16364","73250000"
"12/2/2022","17682","16364","17682","16182","50250000"
"12/5/2022","18182","18000","18545","17727","51170000"
"12/6/2022","16909","18091","18136","16909","69050000"
"12/7/2022","16591","16364","17409","16091","38080000"
"12/8/2022","17182","17182","17591","16818","32940000"
"12/9/2022","17455","17182","17682","16818","38000000"
"12/12/2022","16909","17455","17773","16909","39420000"
"12/13/2022","17273","16909","17273","16591","26780000"
"12/14/2022","17455","17591","17818","17273","37710000"
"12/15/2022","17591","17364","17864","17364","23080000"
"12/16/2022","18545","17455","18591","17227","60920000"
"12/19/2022","18182","18727","19318","18182","52840000"
"12/20/2022","17273","18000","18273","17045","50110000"
"12/21/2022","17182","17636","17682","16455","30470000"
"12/22/2022","17182","17364","17818","17000","20860000"
"12/23/2022","16682","17136","17182","16455","27290000"
"12/26/2022","15545","16636","16636","15545","34510000"
"12/27/2022","16591","15545","16591","15545","26020000"
"12/28/2022","16545","16727","16818","16318","15740000"
"12/29/2022","16364","16636","16818","16227","19170000"
"12/30/2022","16364","16455","16773","16273","15900000"
"1/3/2023","17500","16636","17500","16545","30790000"
"1/4/2023","17636","17682","18000","17545","22250000"
"1/5/2023","18000","17636","18182","17409","23650000"
"1/6/2023","17636","17909","18273","17455","21590000"
"1/9/2023","17818","18000","18273","17727","17800000"
"1/10/2023","18000","17818","18273","17455","29540000"
"1/11/2023","18364","18182","18682","18091","28280000"
"1/12/2023","18227","18273","18409","18091","22190000"
"1/13/2023","18136","18409","18500","18091","21090000"
"1/16/2023","18409","18182","18773","18136","24550000"
"1/17/2023","19682","18591","19682","18591","45740000"
"1/18/2023","19727","20000","20045","19591","28440000"
"1/19/2023","19227","19636","19864","18955","48330000"
"1/27/2023","19545","19091","19591","18955","29180000"
"1/30/2023","19773","19727","20182","19409","46580000"
"1/31/2023","20091","19909","20091","19727","30920000"
"2/1/2023","19182","20182","20591","19091","57100000"
"2/2/2023","19364","19273","19727","19182","27930000"
"2/3/2023","19182","19500","19591","19091","23050000"
"2/6/2023","19227","19182","19227","18682","24510000"
"2/7/2023","17955","19227","19273","17909","47720000"
"2/8/2023","18955","17955","19182","17955","37190000"
"2/9/2023","18727","19091","19318","18727","17980000"
"2/10/2023","18636","18818","18909","18318","17410000"
"2/13/2023","18364","18545","18545","17955","20620000"
"2/14/2023","18727","18455","19000","18409","19020000"
"2/15/2023","18909","18727","19136","18409","22080000"
"2/16/2023","19364","19045","19455","18727","26310000"
"2/17/2023","19091","19364","19409","19091","13520000"
"2/20/2023","19909","19091","19909","19091","27220000"
"2/21/2023","19636","20045","20273","19636","22710000"
"2/22/2023","19273","19455","20091","19273","35900000"
"2/23/2023","19545","19227","19545","18545","36950000"
"2/24/2023","18909","19545","19545","18773","16060000"
"2/27/2023","18273","18545","18682","18136","34450000"
"2/28/2023","18182","18591","18636","18091","16740000"
"3/1/2023","19000","18182","19000","18000","20480000"
"3/2/2023","18727","19091","19182","18727","9750000"
"3/3/2023","18500","18909","19182","18500","14970000"
"3/6/2023","18545","18773","18955","18545","12500000"
"3/7/2023","19182","18727","19409","18682","32260000"
"3/8/2023","19273","19000","19273","18909","17780000"
"3/9/2023","19273","19273","19591","19273","25600000"
"3/10/2023","19364","19227","19500","19091","24700000"
"3/13/2023","19182","19136","19455","19000","23020000"
"3/14/2023","18455","19136","19182","18364","33950000"
"3/15/2023","19364","18909","19364","18727","29460000"
"3/16/2023","18955","19091","19182","18636","33270000"
"3/17/2023","18545","19136","19136","18545","37350000"
"3/20/2023","18182","18545","18727","18182","25290000"
"3/21/2023","18591","18364","18682","18045","20970000"
"3/22/2023","18455","18682","18727","18318","14140000"
"3/23/2023","18545","18364","18545","18227","11820000"
"3/24/2023","18545","18591","18636","18455","15060000"
"3/27/2023","18909","18545","19000","18500","22290000"
"3/28/2023","18818","19000","19091","18818","13560000"
"3/29/2023","18909","18818","19182","18818","19740000"
"3/30/2023","18909","19091","19227","18864","23050000"
"3/31/2023","18909","18909","19000","18500","26150000"
"4/3/2023","19091","19136","19182","18955","23510000"
"4/4/2023","19182","19227","19273","19045","21850000"
"4/5/2023","19545","19182","19545","19045","28080000"
"4/6/2023","19545","19591","19909","19455","30620000"
"4/7/2023","19273","19545","19636","19182","20420000"
"4/10/2023","18818","19318","19409","18727","29200000"
"4/11/2023","18909","18818","18955","18727","15860000"
"4/12/2023","18864","19000","19000","18773","11700000"
"4/13/2023","18591","18909","18909","18500","16180000"
"4/14/2023","18773","18682","18955","18636","14970000"
"4/17/2023","18955","18727","19000","18727","10200000"
"4/18/2023","19045","19000","19091","18909","12730000"
"4/19/2023","18909","19136","19136","18909","11530000"
"4/20/2023","18909","18909","19000","18864","7200000"
"4/21/2023","18818","18909","18955","18818","12260000"
"4/24/2023","18773","18818","18909","18682","11630000"
"4/25/2023","19136","18909","19318","18818","20310000"
"4/26/2023","20000","19136","20000","19000","29500000"
"4/27/2023","19727","20000","20000","19636","18850000"
"4/28/2023","19682","19727","19818","19455","17330000"
